KRS1222;Kreisname;fl_suv;fl_landw;fl_wald;bev_binw;bev_ausw;ko_kasskred;bev_u18;bev_18_65;bev_ue65;bev_ausl;mitgl_sportv;ew_sportv;preis_miet;wohn_eigen;wohn_leer;wohn_EZFH;wohn_MFH;heiz_wohn_best;heiz_wohn;bquali_unifh;bquali_mabschl;bquali_oabschl;erw_wachs;erw_mini;erw_minineben;alq;schulden;sozsich;auto;v_harzt;v_karzt;schule_oabschl;kbetr_u3;kbetr_ue3;kbetr_ue6;kinder_bg;straft;einbr
3455000;Friesland;16,67;71,87;7,54;87,86;116,38;0;15,95;57,35;26,71;5,76;37,06;157,56;7,00 bis unter 8,50;58,4;3,6;31,7;43,8;2,58;47,56;10,05;70,5;11,57;0,84;12,75;7,81;4,71;7,72;6,58;674,9;72,1;22,5;9,47;32,77;95,39;11,7;9,79;5043,03;85,76
3456000;Grafschaft Bentheim;14,85;62,78;17,15;56,13;146,39;4,96;18,43;60,33;21,24;16,58;35,7;82,82;7,00 bis unter 8,50;63,8;2,52;24,3;21,2;5,19;32,09;9,09;69,5;12,38;1,08;14,15;9,97;3,22;6,98;6,21;621,8;53,8;39,2;7,97;34,48;88,04;11,81;9,03;5820,81;37,52
3457000;Leer;15,28;70,61;3,45;51,62;107,43;43,27;17,57;60,29;22,14;10,11;28,48;99,8;7,00 bis unter 8,50;61,4;3,87;25,6;13,9;3,11;30,33;9,58;68,89;12,49;0,47;13,91;6,89;5,78;8,85;7,45;617,2;61,8;37,4;7,48;27,63;90,41;11,34;9,57;5867,00;83,74
3458000;Oldenburg;14,43;63,32;19,72;76,54;88,49;0;17,38;60,43;22,19;9,78;33,95;117,24;7,00 bis unter 8,50;59,8;3,12;20,5;13,1;4,61;49,11;8,36;63,43;14,53;1,1;11,41;9,14;3,41;6,87;5,88;646,3;60,1;45,3;6,5;33,71;91,51;17,92;8,78;4276,66;82,89
3459000;Osnabrück;15,1;61,46;20,47;-169,95;333,62;59,82;18,16;60,26;21,59;10,64;30,9;84,92;7,00 bis unter 8,50;55,5;3,57;19;17,4;7,13;55,56;9,89;66,02;13,44;0,93;11,81;9,24;3,36;6,9;5,48;649,4;60,1;45;7,35;34,78;87,11;14,24;6,83;4334,81;58,71
3460000;Vechta;17,15;64,58;13,93;2,25;134,49;8,26;19,92;62,9;17,18;14,97;35,34;76,23;7,00 bis unter 8,50;55,4;2,38;28,9;25,4;5,91;34,5;9,88;61,82;16,01;1,26;10,99;8,9;3,73;7,21;6,05;622,9;56,8;47,1;5,02;38,19;93,6;13,38;9,07;4434,95;76,23
3461000;Wesermarsch;12,1;79,6;2,07;46,33;144,92;251,71;16,51;59,49;24;9,94;35,85;140,68;5,50 bis unter 7,00;56,6;4,31;12,4;4,7;3,25;43,79;10,46;69;11,98;0,56;10,88;6,87;6,61;9,22;9,28;608,8;59,5;24,5;7,23;32,84;94;18,35;15,28;5323,33;66,99
3462000;Wittmund;11,41;75,22;6,23;98,53;139,14;34,48;16,32;58,35;25,32;6,76;44,55;191,92;7,00 bis unter 8,50;62,3;5,17;30;17;3,27;24,45;7,57;69,27;11,27;0,41;13,2;8,53;6,21;8,79;8,27;644,1;67,7;38,2;6,8;28,34;89,12;11,14;13;4645,38;41,12
4011000;Bremen, Stadt;59,55;29,44;2,5;-69,46;206,11;0;16,87;62,17;20,96;20,94;22,71;53,92;8,50 bis unter 10,00;36,2;3,28;3,8;20,5;0,96;26,07;21,38;55,85;13,78;0,7;8,49;6,82;9,96;10,62;16,8;430,3;61,6;71,7;8,75;32,22;85,8;19,92;28,28;14274,78;268,18
4012000;Bremerhaven, Stadt;47,23;19,11;3,87;-6,06;242,23;0;18,5;59,68;21,82;21,6;15,59;60,62;5,50 bis unter 7,00;29,7;5,9;2,2;12;1,69;29,88;13,77;59,02;16,2;0,17;9,61;5,96;14,08;19,02;20,74;456,6;60;61,8;12,54;23,17;80,28;18,59;31,75;12845,12;253,75
